common_name,introduced,log_10_mass,resident,max_color_contrast,popularity,commonness
Red-billed Leiothrix,True,1.322219295,True,30,-0.186745493243793,0.120093639209389
Thick-billed Murre,False,2.98,False,87.5,-0.486609546764607,0.11889082341762
Hawaii Elepaio,False,1.176091259,True,70,-0.05547477388503,0.116278457869873
Black-footed Albatross,False,3.45,False,25,0.808236717115473,0.109418649057443
Audubon's Oriole,False,1.62,True,100,-0.570465248103876,0.104325475939173
Java Sparrow,True,1.397940009,True,45,0.830970170149113,0.099570594762339
Greater Prairie-chicken,False,2.94,True,80,1.50375448348815,0.098762452902244
White-rumped Shama,True,1.477121255,True,60,1.29988134183588,0.097860341058418
Little Gull,False,2.07,False,85,0.130105355622314,0.097221345169041
Montezuma Quail,False,2.27,True,55,0.345160793955136,0.095323151497656
Elegant Trogon,False,1.85,False,90,0.153307072177782,0.094458627647322
Ancient Murrelet,False,2.34,False,64.5,-0.549189316605238,0.09415792369938
Elf Owl,False,1.602059991,False,20,1.25127020729338,0.092616815966177
Dusky Grouse,False,3.02,True,60,0.289855822114821,0.090944150255749
Leach's Storm-petrel,False,1.653212514,False,65,-0.988750199256154,0.090587064317567
Hawaiian Goose,False,3.278753601,True,20,1.29172315458082,0.08844454868848
Gray Francolin,True,2.511883361,True,30,-0.576309046767692,0.088031080760059
Black-capped Vireo,False,0.954242509,False,65,0.301176031791735,0.085268363238341
Atlantic Puffin,False,2.77,False,70,1.01178813748237,0.079648958211172
Mountain Plover,False,1.98,False,50,0.167299880084672,0.079517400233948
Parakeet Auklet,False,2.414973348,False,100,-1.02447650608777,0.074367845125439
Black Swift,False,1.658964843,False,52.5,0.175419616830466,0.072883119382474
Spruce Grouse,False,3.05,True,60,0.744649091721439,0.07207497752238
Eurasian Skylark,True,1.505149978,True,45,1.65243780801315,0.070928543720851
California Condor,False,3.93,True,70,1.86897818433862,0.070345929821713
Great Gray Owl,False,3.03,True,45,1.56645570134371,0.07010160786401
Sooty Tern,False,2.301029996,False,80,0.233454066428213,0.069970049886785
White-tailed Tropicbird,False,2.544068044,False,100,-0.198680589220308,0.06698180440411
Great Frigatebird,False,3.079181246,False,55,0.00513678678557,0.065046022739233
Black Rosy-finch,False,1.4,False,45,0.297002009214401,0.064858082771769
Red-footed Booby,False,3.079181246,False,75,0.814118097425931,0.064707730797798
Crested Auklet,False,2.397940009,False,60,0.569555711836075,0.063373357028804
Greater Sage-grouse,False,3.28,True,85,1.66016117057193,0.062508833178471
Yellow-billed Loon,False,3.69,False,80,-0.232998750514487,0.062396069197993
Willow Ptarmigan,False,2.75,False,50,0.905596541292599,0.060948931448521
Fork-tailed Storm-petrel,False,1.72427587,False,30,-0.88824592247421,0.058092243943071
Black-whiskered Vireo,False,1.255272505,False,70,-0.786433872910755,0.057133750109005
Wedge-tailed Shearwater,False,2.59439255,False,27.5,-0.381531923329163,0.055799376340012
Laysan Albatross,False,3.477121255,False,85,0.595320638208058,0.055273144431113
Bar-tailed Godwit,False,2.477121255,False,90,0.50257154971353,0.053769624691403
Spotted Owl,False,2.77,True,50,1.7882396866417,0.053619272717432
Flammulated Owl,False,1.740362689,False,38.5,0.428089644198334,0.053187010792265
Northern Hawk Owl,False,2.51,False,45,1.05384717771772,0.051382787104612
Black Rail,False,1.5,False,40,0.688906324738166,0.049033537511314
Kirtland's Warbler,False,1.146128036,False,85,0.691799987596139,0.048808009550357
Northern Wheatear,False,1.380211242,False,75,-0.226038088374753,0.048469717608922
Gyrfalcon,False,3.16,False,60,1.33477840292863,0.046984991865958
Mexican Whip-poor-will,False,1.72,False,35,-1.07232897710434,0.045951322044907
Smith's Longspur,False,1.45,False,50,-0.931569631466696,0.04578217607419
Aplomado Falcon,False,2.53,True,62.5,0.616838351717988,0.043414132484145
Bicknell's Thrush,False,1.439332694,False,42.5,-0.29956308801241,0.041215234864819
Rock Ptarmigan,False,2.73,False,50,1.87691812432253,0.039523775157644
White Tern,False,2.041392685,False,52.5,0.187040198502484,0.038076637408173
